핸들,분야,팔로워,참여율,게시물단가,티어,브랜드핏,타겟일치
@jakeob.diary,작업·노트북 카페,18000,6.8,20,마이크로,5,5
@quiet.coffee.kr,조용한 카페·무드,9500,8.9,12,나노,5,4
@minimal.mood.cafe,미니멀 감성 카페,14000,7.2,18,마이크로,5,4
@coffee.n.work,카페+원격근무,11000,6.1,15,마이크로,4,5
@office.cafe.seoul,직장인 작업카페,21000,5.5,25,마이크로,4,5
@heukimja.latte,라떼·디저트 감성,27000,5.1,30,마이크로,5,3
@basque.everyday,바스크·치즈케이크,33000,3.9,35,마이크로,4,3
@seongsu.cafe.day,성수 카페투어,42000,4.2,45,마이크로,4,4
@seoul.latteart,라떼아트·커피,65000,2.8,60,마이크로,3,3
@foodie.megang,대형 먹방·맛집,180000,1.9,150,매크로,2,2
