날짜,플랫폼,별점,리뷰,테마
2026-06-09,네이버,5,흑임자 라떼 고소하고 진해요. 인생 라떼,맛
2026-06-10,카카오맵,5,콘센트 자리 많아서 작업하기 너무 좋아요,작업환경
2026-06-11,인스타,4,바스크 치즈케이크 꾸덕하니 맛있음,디저트
2026-06-12,네이버,2,주말엔 자리가 없어서 한참 기다렸어요,대기시간
2026-06-13,카카오맵,3,맛은 좋은데 가격이 좀 있는 편,가격
2026-06-14,네이버,5,사장님이 친절하시고 분위기 차분해요,친절
2026-06-14,인스타,5,흑임자 라떼 + 바스크 조합 최고,맛
2026-06-15,카카오맵,4,조용해서 노트북 작업 집중 잘됨,작업환경
2026-06-16,네이버,2,주문 밀려서 음료 늦게 나왔어요,대기시간
2026-06-17,인스타,5,인테리어 감성 좋고 사진도 잘나와요,분위기
2026-06-18,카카오맵,3,좌석이 좀 부족한 느낌,분위기
2026-06-19,네이버,4,스콘 담백하고 좋았어요,디저트
2026-06-20,인스타,5,흑임자 라떼 강추합니다,맛
2026-06-20,카카오맵,2,피크 시간 웨이팅 너무 길어요,대기시간
2026-06-21,네이버,5,직원분들 응대 친절했어요,친절
2026-06-21,인스타,4,분위기 좋아서 오래 있었어요,분위기
2026-06-22,카카오맵,3,가격대비 양은 보통,가격
2026-06-22,네이버,5,커피 맛 안정적이고 깔끔,맛
